,datumi,testi,pozitivni,smrti,d_smrti
0,2020-02-24,18.0,0.0,0.0,0.0
1,2020-02-25,21.0,0.0,0.0,0.0
2,2020-02-26,41.0,0.0,0.0,0.0
3,2020-02-27,43.0,0.0,0.0,0.0
4,2020-02-28,35.0,0.0,0.0,0.0
5,2020-02-29,16.0,0.0,0.0,0.0
6,2020-03-01,17.0,0.0,0.0,0.0
7,2020-03-02,54.0,0.0,0.0,0.0
8,2020-03-03,48.0,0.0,0.0,0.0
9,2020-03-04,51.0,1.0,0.0,0.0
10,2020-03-05,103.0,5.0,0.0,0.0
11,2020-03-06,278.0,3.0,0.0,0.0
12,2020-03-07,177.0,4.0,0.0,0.0
13,2020-03-08,238.0,6.0,0.0,0.0
14,2020-03-09,367.0,10.0,0.0,0.0
15,2020-03-10,542.0,18.0,0.0,0.0
16,2020-03-11,749.0,30.0,0.0,0.0
17,2020-03-12,1045.0,50.0,0.0,0.0
18,2020-03-13,1197.0,47.0,0.0,0.0
19,2020-03-14,916.0,41.0,1.0,1.0
20,2020-03-15,590.0,32.0,1.0,0.0
21,2020-03-16,871.0,25.0,1.0,0.0
22,2020-03-17,1121.0,11.0,1.0,0.0
23,2020-03-18,1026.0,32.0,1.0,0.0
24,2020-03-19,1184.0,24.0,1.0,0.0
25,2020-03-20,1242.0,29.0,1.0,0.0
26,2020-03-21,872.0,34.0,1.0,0.0
27,2020-03-22,731.0,37.0,2.0,1.0
28,2020-03-23,1257.0,39.0,3.0,1.0
29,2020-03-24,1243.0,50.0,6.0,3.0
30,2020-03-25,1181.0,49.0,6.0,0.0
31,2020-03-26,1075.0,61.0,8.0,2.0
32,2020-03-27,1384.0,53.0,10.0,2.0
33,2020-03-28,999.0,46.0,12.0,2.0
34,2020-03-29,597.0,26.0,13.0,1.0
35,2020-03-30,1125.0,51.0,18.0,5.0
36,2020-03-31,1288.0,41.0,19.0,1.0
37,2020-04-01,1095.0,56.0,20.0,1.0
38,2020-04-02,1064.0,37.0,23.0,3.0
39,2020-04-03,1188.0,41.0,26.0,3.0
40,2020-04-04,655.0,20.0,30.0,4.0
41,2020-04-05,489.0,23.0,33.0,3.0
42,2020-04-06,1202.0,35.0,40.0,7.0
43,2020-04-07,1214.0,36.0,42.0,2.0
44,2020-04-08,1144.0,33.0,46.0,4.0
45,2020-04-09,1234.0,35.0,48.0,2.0
46,2020-04-10,1232.0,28.0,54.0,6.0
47,2020-04-11,572.0,17.0,57.0,3.0
48,2020-04-12,554.0,7.0,61.0,4.0
49,2020-04-13,541.0,8.0,64.0,3.0
50,2020-04-14,1168.0,27.0,65.0,1.0
51,2020-04-15,1023.0,21.0,65.0,0.0
52,2020-04-16,1193.0,36.0,71.0,6.0
53,2020-04-17,1250.0,13.0,75.0,4.0
54,2020-04-18,685.0,13.0,78.0,3.0
55,2020-04-19,537.0,5.0,83.0,5.0
56,2020-04-20,1174.0,9.0,84.0,1.0
57,2020-04-21,1478.0,9.0,87.0,3.0
58,2020-04-22,1457.0,13.0,87.0,0.0
59,2020-04-23,1510.0,7.0,88.0,1.0
60,2020-04-24,1380.0,15.0,89.0,1.0
61,2020-04-25,1012.0,8.0,90.0,1.0
62,2020-04-26,831.0,6.0,90.0,0.0
63,2020-04-27,826.0,6.0,93.0,3.0
64,2020-04-28,1360.0,9.0,96.0,3.0
65,2020-04-29,1370.0,11.0,97.0,1.0
66,2020-04-30,1382.0,5.0,100.0,3.0
67,2020-05-01,771.0,5.0,102.0,2.0
68,2020-05-02,535.0,0.0,104.0,2.0
69,2020-05-03,616.0,0.0,105.0,1.0
70,2020-05-04,1338.0,6.0,105.0,0.0
71,2020-05-05,1449.0,3.0,107.0,2.0
72,2020-05-06,1055.0,1.0,107.0,0.0
73,2020-05-07,1049.0,1.0,108.0,1.0
74,2020-05-08,1176.0,4.0,109.0,1.0
75,2020-05-09,625.0,3.0,110.0,1.0
76,2020-05-10,537.0,3.0,110.0,0.0
77,2020-05-11,1182.0,1.0,110.0,0.0
78,2020-05-12,1147.0,2.0,111.0,1.0
79,2020-05-13,984.0,1.0,111.0,0.0
