Trbovlje;Celje;Velenje;Zagorje;Novo mesto;Iskrba;Murska Sobota;Kranj;Maribor;Nova Gorica;Žerjav;Ljubljana;Koper;Hrastnik
22;30;24;23;20;16;26;24;26;25;23;23;21;20
22;28;23;26;22;20;23;20;25;23;20;25;23;24
30;44;26;33;27;21;27;28;30;27;30;35;25;30
28;35;21;32;26;15;18;25;27;23;28;30;20;28
19;22;10;22;13;11;19;19;21;17;19;21;17;18
18;21;14;18;14;10;12;17;19;14;17;17;8;15
19;21;12;17;19;9;11;;19;15;16;16;13;16
15;22;11;15;18;9;13;;17;23;14;15;26;13
14;20;15;16;13;10;16;;25;16;17;15;17;12
18;22;17;21;16;11;20;;25;16;18;17;16;19
18;29;17;18;16;11;19;;32;12;18;17;11;17
21;23;18;20;17;12;22;;30;15;19;;14;19
20;25;18;20;18;12;20;;28;17;20;22;16;19
13;16;13;14;13;13;13;;18;21;17;13;;14
18;17;14;18;17;7;22;;20;13;14;16;;16
16;14;15;15;14;8;28;;20;10;12;14;;12
12;9;5;11;10;7;9;;12;9;10;10;;8
11;12;6;13;10;5;9;;16;9;13;9;;8
9;16;7;12;8;8;7;7;14;11;11;10;;9
11;14;8;11;11;10;10;7;14;10;13;10;;8
;27;16;21;;12;24;;24;18;14;17;;23
;24;18;22;;12;18;;19;21;14;23;;20
;3;7;11;;8;8;;11;13;7;12;;8
;28;15;19;;14;13;;20;22;12;20;;16
;17;16;20;;14;18;;20;26;17;18;;16
;22;16;21;;17;;;20;21;17;22;;16
;17;12;15;;18;;;13;14;8;15;23;14
;12;5;12;;10;;;7;13;5;11;17;6
;17;8;14;;8;;;15;9;11;11;9;9
;25;17;22;;11;;;27;13;16;19;23;23
