Ljubljana;Maribor;Celje;Iskrba;Zagorje;Hrastnik;Trbovlje;Novo mesto;Kranj;Murska Sobota;Žerjav;Nova Gorica;Velenje;Koper
126;88;;12;134;65;113;64;74;101;57;;35;35
53;68;77;13;94;30;40;56;50;99;58;59;31;60
34;81;96;8;83;47;73;71;57;89;48;26;61;15
;69;117;12;86;38;50;63;35;64;40;45;51;22
31;19;51;6;39;19;34;41;29;32;16;;11;8
13;16;16;5;13;;9;11;13;4;15;;5;7
22;34;42;11;43;26;32;48;18;10;34;20;14;10
39;50;58;8;48;33;39;59;44;41;43;26;32;19
66;71;90;16;67;40;54;60;66;48;46;37;51;23
41;47;52;28;47;35;43;79;46;47;37;29;31;16
62;67;82;18;82;52;69;99;65;55;57;46;43;27
73;77;29;5;34;26;27;51;59;42;52;85;33;47
12;15;19;3;19;16;17;34;15;21;;23;5;12
34;14;57;8;60;28;40;37;27;40;;29;17;13
48;18;82;11;67;48;46;58;40;62;;18;17;6
32;23;72;12;36;24;30;37;21;40;;7;15;10
15;24;28;19;16;14;17;21;17;20;;7;11;12
23;34;36;22;31;22;27;30;35;29;;11;28;17
38;56;65;27;51;37;44;47;39;78;;15;46;16
51;72;;17;101;59;77;83;61;131;;33;58;14
67;101;;25;105;68;90;75;69;153;;29;55;15
70;138;142;40;93;73;88;97;89;151;;24;74;15
78;170;146;67;97;83;107;98;83;139;;34;87;25
96;106;105;82;97;98;99;127;84;88;;33;111;24
56;74;73;26;64;52;58;80;55;79;;35;74;19
31;51;75;22;54;38;43;62;31;94;;32;38;17
40;62;66;22;75;46;58;76;37;99;54;43;36;26
81;94;116;29;100;89;95;124;54;92;73;51;91;32
101;100;109;68;112;107;111;109;87;76;54;58;120;56
83;99;102;42;101;95;94;94;97;88;62;89;113;81
110;146;115;5;93;109;97;136;122;142;51;94;90;75
