Ljubljana;Maribor;Celje;Iskrba;Zagorje;Hrastnik;Trbovlje;Novo mesto;Žerjav;Nova Gorica;Velenje;Koper
26;41;39;10;39;33;;;19;15;26;15
11;14;13;8;14;11;;;9;8;10;10
13;24;23;7;17;15;;;14;10;13;10
12;16;16;6;15;10;;;12;11;10;11
12;16;19;5;14;13;;;13;10;9;9
11;12;11;6;11;10;;;13;9;7;11
12;15;13;9;12;10;;;11;8;11;8
13;17;17;8;16;13;;;13;10;11;16
10;13;12;8;10;7;;;12;8;6;7
12;14;12;8;12;10;;12;12;9;9;8
15;19;16;14;14;18;11;14;18;15;14;15
19;20;21;16;24;21;21;22;14;25;17;26
15;13;14;11;15;12;14;13;11;21;11;22
14;12;15;9;12;11;11;11;9;17;10;22
12;13;13;7;12;9;9;11;11;11;8;13
15;18;18;9;14;13;;13;17;13;16;12
21;22;23;12;17;18;;19;17;16;21;15
19;24;20;11;18;17;;22;18;17;17;16
19;24;23;13;19;;17;15;19;18;18;18
16;16;16;7;16;12;14;11;12;11;13;12
13;14;11;11;12;9;10;14;10;11;8;11
16;24;18;14;16;15;17;19;15;16;15;16
13;16;13;12;16;14;14;15;14;17;11;20
16;20;22;10;17;16;15;12;14;16;13;20
11;15;16;10;12;11;12;10;12;13;;16
15;20;18;11;14;13;14;12;15;17;;10
16;21;17;13;14;15;15;12;17;19;;15
17;20;20;14;15;15;14;15;18;14;;13
20;27;23;15;18;19;19;16;22;18;;16
22;33;33;16;22;25;23;21;25;17;;16
21;27;23;18;19;22;21;21;22;20;;18
