Ljubljana;Maribor;Celje;Iskrba;Zagorje;Hrastnik;Trbovlje;Novo mesto;Kranj;Murska Sobota;Žerjav;Nova Gorica;Velenje;Koper
13;13;21;;26;13;20;;15;18;12;15;10;13
23;29;33;;39;19;23;;31;23;25;21;26;15
29;30;49;11;48;26;43;;28;15;29;26;26;22
18;20;19;11;28;15;18;;18;16;17;27;16;17
10;13;9;5;10;6;8;;8;18;12;11;6;9
13;21;19;5;22;11;19;;15;11;18;14;11;17
11;17;20;7;23;13;18;;10;8;17;8;8;8
15;23;32;7;30;18;26;;14;18;22;13;10;8
25;30;33;14;39;28;51;;19;32;22;21;14;16
13;8;13;5;19;11;15;17;11;9;11;6;3;10
14;13;25;10;23;13;18;19;13;14;13;11;10;9
22;20;26;11;24;17;23;26;16;24;20;20;17;15
29;28;44;14;40;34;43;35;32;35;24;28;32;18
37;32;54;15;50;38;47;38;34;43;22;47;33;43
43;50;63;23;53;42;57;44;43;59;24;48;44;38
50;51;65;17;58;48;57;42;49;50;26;58;49;55
53;38;54;30;59;49;54;45;45;52;27;63;44;64
39;62;52;19;57;42;41;44;62;62;37;50;61;35
36;37;43;19;44;31;31;33;53;28;21;34;46;35
23;42;32;18;31;23;22;23;32;28;24;33;31;22
23;32;25;16;31;21;24;22;26;31;22;37;24;32
33;28;37;16;41;33;36;26;33;22;22;39;29;48
21;25;29;15;28;24;27;21;22;25;22;27;19;27
26;33;30;18;24;21;24;22;23;32;23;23;23;22
29;32;37;17;31;27;31;36;29;26;28;23;30;29
26;21;33;14;24;19;24;25;27;17;20;19;22;21
21;23;28;10;25;19;25;24;20;25;15;15;17;11
29;25;34;8;27;22;33;26;22;28;20;18;22;18
31;25;37;13;28;27;30;25;23;27;23;22;25;15
34;30;39;15;28;26;30;23;24;29;33;23;29;22
30;27;37;15;27;26;30;24;27;28;27;26;25;22
